PlayerID,nameFirst,nameLast,FullName,DebutYear,FinalYear,Years,W,L,WPct,ERA,G,GS,GF,CG,SHO,SV,IPOuts,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BFP,WHIP,H9,HR9,BB9,SO9,SOW,SH,SF,GIDP,GG,InductionYear,votedBy
mcelrch01,Chuck,McElroy,Chuck McElroy,1989,2001,13,38,30,0.558823529,3.89540128,654,7,179,0,0,17,2218,739.33333,724,366,320,66,362,46,604,11,0,31,3233,1.468890899,8.813345396,0.803426514,4.406672698,7.352569916,1.668508287,1,5,0,0,0,
mcgafan01,Andy,McGaffigan,Andy McGaffigan,1981,1991,11,38,33,0.535211268,3.380400014,363,62,112,3,1,24,2500,833.33333,773,351,313,55,294,38,610,16,16,30,3505,1.280400005,8.348400033,0.594000002,3.175200013,6.588000026,2.074829932,0,0,0,0,0,
mcginjo01,Joe,McGinnity,Joe McGinnity,1899,1908,10,246,142,0.634020619,2.65710965,465,381,73,314,32,24,10324,3441.33333,3276,1438,1016,52,812,0,1068,182,4,30,14495,1.187911663,8.567609462,0.135993801,2.123595508,2.793103451,1.315270936,0,0,0,0,1946,Old Timers
mcgloly01,Lynn,McGlothen,Lynn McGlothen,1972,1982,11,86,93,0.480446927,3.984197632,318,201,37,41,13,2,4493,1497.66667,1553,735,663,127,572,63,939,25,3,27,6469,1.418873801,9.332517228,0.763187178,3.437346977,5.642777642,1.641608392,0,0,0,0,0,
mcgratu01,Tug,McGraw,Tug McGraw,1965,1984,19,96,92,0.510638298,3.137323937,824,39,541,5,1,180,4544,1514.66667,1318,597,528,108,582,128,1109,22,4,63,6313,1.254401406,7.831426039,0.641725351,3.458186612,6.589568647,1.905498282,0,0,0,0,0,
mcgresc01,Scott,McGregor,Scott McGregor,1976,1988,13,138,108,0.56097561,3.989878536,356,309,24,83,23,5,6422,2140.66667,2245,1031,949,235,518,26,904,26,12,28,8982,1.2907194,9.438648381,0.988009964,2.177826219,3.800685139,1.745173745,0,0,0,0,0,
mclaide01,Denny,McLain,Denny McLain,1963,1972,10,131,91,0.59009009,3.392895016,280,264,8,105,29,2,5658,1886,1646,778,711,242,548,24,1282,26,9,27,7719,1.16330859,7.854718982,1.154825027,2.615058324,6.117709438,2.339416058,0,0,0,0,0,
mclisca01,Cal,McLish,Cal McLish,1944,1964,15,92,92,0.5,3.999378496,352,209,70,57,5,6,4827,1609,1685,824,715,164,552,44,713,27,3,38,6938,1.390304537,9.425108763,0.917339963,3.08763207,3.988191423,1.291666667,0,0,0,0,0,
mcmahdo02,Don,McMahon,Don McMahon,1957,1974,18,90,68,0.569620253,2.959562556,874,2,506,0,0,153,3932,1310.66667,1054,482,431,105,579,84,1003,34,5,75,5503,1.245930821,7.23753813,0.721007119,3.975839257,6.887334672,1.732297064,0,0,0,0,0,
mcnalda01,Dave,McNally,Dave McNally,1962,1975,14,184,119,0.607260726,3.237362637,424,396,7,120,33,2,8190,2730,2488,1070,982,230,826,56,1512,72,11,59,11229,1.213919414,8.202197802,0.758241758,2.723076923,4.984615385,1.830508475,0,0,0,0,0,
